D4J ID: JacksonXml-6 ; CPM ID: 20172 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java
D4J ID: JacksonXml-1 ; CPM ID: 20172 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java
D4J ID: JacksonXml-3 ; CPM ID: 20172 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java
D4J ID: JacksonDatabind-27 ; CPM ID: 25565 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java
D4J ID: JacksonDatabind-50 ; CPM ID: 25565 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java
D4J ID: JacksonDatabind-101 ; CPM ID: 25565 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer.java
D4J ID: Cli-31 ; CPM ID: 26593 ; Overlap CPM_file: src/main/java/org/apache/commons/cli/OptionBuilder.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/cli/OptionBuilder.java
D4J ID: Cli-34 ; CPM ID: 26593 ; Overlap CPM_file: src/main/java/org/apache/commons/cli/OptionBuilder.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/cli/OptionBuilder.java
D4J ID: Time-7 ; CPM ID: 26796 ; Overlap CPM_file: src/main/java/org/joda/time/format/DateTimeFormatter.java ; Overlap D4j_file: a/src/main/java/org/joda/time/format/DateTimeFormatter.java
D4J ID: Time-16 ; CPM ID: 26796 ; Overlap CPM_file: src/main/java/org/joda/time/format/DateTimeFormatter.java ; Overlap D4j_file: a/src/main/java/org/joda/time/format/DateTimeFormatter.java
D4J ID: Csv-8 ; CPM ID: 27518 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-12 ; CPM ID: 27518 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-14 ; CPM ID: 27518 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-15 ; CPM ID: 27518 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-8 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-12 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-14 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-15 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVFormat.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVFormat.java
D4J ID: Csv-5 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVPrinter.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVPrinter.java
D4J ID: Csv-10 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVPrinter.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVPrinter.java
D4J ID: Csv-13 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVPrinter.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVPrinter.java
D4J ID: Csv-4 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVParser.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVParser.java
D4J ID: Csv-7 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVParser.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVParser.java
D4J ID: Csv-11 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVParser.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVParser.java
D4J ID: Csv-16 ; CPM ID: 27724 ; Overlap CPM_file: src/main/java/org/apache/commons/csv/CSVParser.java ; Overlap D4j_file: a/src/main/java/org/apache/commons/csv/CSVParser.java
D4J ID: Closure-71 ; CPM ID: 36340 ; Overlap CPM_file: src/com/google/javascript/jscomp/CheckAccessControls.java ; Overlap D4j_file: a/src/com/google/javascript/jscomp/CheckAccessControls.java
D4J ID: JacksonXml-4 ; CPM ID: 39620 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java
D4J ID: JacksonXml-5 ; CPM ID: 39620 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java
D4J ID: JacksonDatabind-3 ; CPM ID: 41672 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/databind/deser/std/StringArrayDeserializer.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/databind/deser/std/StringArrayDeserializer.java
D4J ID: JacksonDatabind-4 ; CPM ID: 41672 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/databind/deser/std/StringArrayDeserializer.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/databind/deser/std/StringArrayDeserializer.java
D4J ID: JacksonDatabind-62 ; CPM ID: 41672 ; Overlap CPM_file: src/main/java/com/fasterxml/jackson/databind/deser/std/CollectionDeserializer.java ; Overlap D4j_file: a/src/main/java/com/fasterxml/jackson/databind/deser/std/CollectionDeserializer.java
