-D4J ID:JacksonDatabind-2; Mega ID:1/29e7cbfb381b61643426545ee8ea7c23aab3fea8.diff.xz; Overlap File:src/main/java/com/fasterxml/jackson/databind/util/TokenBuffer.java
-D4J ID:JacksonDatabind-7; Mega ID:1/29e7cbfb381b61643426545ee8ea7c23aab3fea8.diff.xz; Overlap File:src/main/java/com/fasterxml/jackson/databind/util/TokenBuffer.java
-D4J ID:JacksonDatabind-30; Mega ID:1/29e7cbfb381b61643426545ee8ea7c23aab3fea8.diff.xz; Overlap File:src/main/java/com/fasterxml/jackson/databind/util/TokenBuffer.java
+D4J ID:JacksonDatabind-31; Mega ID:1/29e7cbfb381b61643426545ee8ea7c23aab3fea8.diff.xz; Overlap File:src/main/java/com/fasterxml/jackson/databind/util/TokenBuffer.java
-D4J ID:Closure-83; Mega ID:1/c10d0b4537ac834fe2d100c01a71c4e9306f7d68.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-101; Mega ID:1/c10d0b4537ac834fe2d100c01a71c4e9306f7d68.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-107; Mega ID:1/c10d0b4537ac834fe2d100c01a71c4e9306f7d68.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-151; Mega ID:1/c10d0b4537ac834fe2d100c01a71c4e9306f7d68.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-83; Mega ID:1/16c59fbd6408fc407a393351aff75a873a7add56.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-101; Mega ID:1/16c59fbd6408fc407a393351aff75a873a7add56.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-107; Mega ID:1/16c59fbd6408fc407a393351aff75a873a7add56.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-151; Mega ID:1/16c59fbd6408fc407a393351aff75a873a7add56.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-47; Mega ID:1/d835ed6b106acd8228dc891fd124191825058312.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
-D4J ID:Closure-148; Mega ID:1/d835ed6b106acd8228dc891fd124191825058312.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
-D4J ID:Mockito-4; Mega ID:1/76be2d371d7f56eeb5ce0d2733eb49c44e1a24a9.diff.xz; Overlap File:src/org/mockito/exceptions/Reporter.java
-D4J ID:Mockito-13; Mega ID:1/22b8c1ce71c83ce1789e77c3db7f877139ebb1f0.diff.xz; Overlap File:src/org/mockito/internal/MockHandler.java
-D4J ID:Closure-47; Mega ID:1/25a1be0fa2c52ffbdae237256d0daa2cbaa6af96.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
-D4J ID:Closure-148; Mega ID:1/25a1be0fa2c52ffbdae237256d0daa2cbaa6af96.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
+D4J ID:Math-49; Mega ID:1/0ded6f788122418875f34cade212fb04759f40e7.diff.xz; Overlap File:src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java
-D4J ID:Math-77; Mega ID:1/0ded6f788122418875f34cade212fb04759f40e7.diff.xz; Overlap File:src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java
-D4J ID:Closure-83; Mega ID:1/33f7de292e24ef8306513b8fe33908af5bbad9d8.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-101; Mega ID:1/33f7de292e24ef8306513b8fe33908af5bbad9d8.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-107; Mega ID:1/33f7de292e24ef8306513b8fe33908af5bbad9d8.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-151; Mega ID:1/33f7de292e24ef8306513b8fe33908af5bbad9d8.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-83; Mega ID:1/e1422b3f6a24c954c3b38abef18fc599c0ce09c9.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-101; Mega ID:1/e1422b3f6a24c954c3b38abef18fc599c0ce09c9.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-107; Mega ID:1/e1422b3f6a24c954c3b38abef18fc599c0ce09c9.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-151; Mega ID:1/e1422b3f6a24c954c3b38abef18fc599c0ce09c9.diff.xz; Overlap File:src/com/google/javascript/jscomp/CommandLineRunner.java
-D4J ID:Closure-47; Mega ID:1/bd20fc62088792af47cad4f31bea215a1e476b12.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
-D4J ID:Closure-148; Mega ID:1/bd20fc62088792af47cad4f31bea215a1e476b12.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
-D4J ID:Closure-47; Mega ID:1/fd2582ea34cad962f7283bcbcea48d7ca368c619.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
-D4J ID:Closure-148; Mega ID:1/fd2582ea34cad962f7283bcbcea48d7ca368c619.diff.xz; Overlap File:src/com/google/javascript/jscomp/SourceMap.java
+D4J ID:Mockito-6; Mega ID:1/6a49c135afdd4d1613234415585495f08b44facc.diff.xz; Overlap File:src/org/mockito/Matchers.java
+D4J ID:Mockito-35; Mega ID:1/6a49c135afdd4d1613234415585495f08b44facc.diff.xz; Overlap File:src/org/mockito/Matchers.java
-D4J ID:Mockito-10; Mega ID:1/264b6bc878bd05d8d091980aab76cad46d9c6b84.diff.xz; Overlap File:src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java
+D4J ID:Mockito-23; Mega ID:1/264b6bc878bd05d8d091980aab76cad46d9c6b84.diff.xz; Overlap File:src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java
+D4J ID:Mockito-25; Mega ID:1/264b6bc878bd05d8d091980aab76cad46d9c6b84.diff.xz; Overlap File:src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java
+D4J ID:Math-95; Mega ID:2/2ffbed61edd14a6bf5f0c34b99b649971f9ccebd.diff.xz; Overlap File:src/java/org/apache/commons/math/distribution/FDistributionImpl.java
+D4J ID:Mockito-6; Mega ID:2/a544167a81767d2952b2f04fb2ff8d6748fb94d2.diff.xz; Overlap File:src/org/mockito/Matchers.java
+D4J ID:Mockito-35; Mega ID:2/a544167a81767d2952b2f04fb2ff8d6748fb94d2.diff.xz; Overlap File:src/org/mockito/Matchers.java
-D4J ID:Gson-7; Mega ID:2/39b17afb864697a9a7306e43cdbf4798765eec05.diff.xz; Overlap File:gson/src/main/java/com/google/gson/stream/JsonReader.java
-D4J ID:Gson-13; Mega ID:2/39b17afb864697a9a7306e43cdbf4798765eec05.diff.xz; Overlap File:gson/src/main/java/com/google/gson/stream/JsonReader.java
+D4J ID:JacksonDatabind-68; Mega ID:2/03a49b173536b3811585006a331faed5a00f277b.diff.xz; Overlap File:src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializerBase.java
-D4J ID:Mockito-38; Mega ID:2/684dc7566a8efa86221b0e499a23b3248806500b.diff.xz; Overlap File:src/org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java
-D4J ID:Math-89; Mega ID:2/e4fa9d0cad98b4a0d7bafd251d9627aa14099e42.diff.xz; Overlap File:src/java/org/apache/commons/math/stat/Frequency.java
+D4J ID:Math-90; Mega ID:2/e4fa9d0cad98b4a0d7bafd251d9627aa14099e42.diff.xz; Overlap File:src/java/org/apache/commons/math/stat/Frequency.java
+D4J ID:Math-60; Mega ID:2/68611cca590cb0522d6b2687f916443cb70a8855.diff.xz; Overlap File:src/main/java/org/apache/commons/math/distribution/NormalDistributionImpl.java
-D4J ID:Math-91; Mega ID:2/021d4b59fc3ac95a40296425c4c9374b3246eae6.diff.xz; Overlap File:src/java/org/apache/commons/math/fraction/Fraction.java
-D4J ID:Math-97; Mega ID:2/fd77bfbe13369c830259d6a5cf8b75f6cdf65321.diff.xz; Overlap File:src/java/org/apache/commons/math/analysis/BrentSolver.java
-D4J ID:Math-30; Mega ID:2/802a2a08c67f3adb5b49af8232f76748e50a3696.diff.xz; Overlap File:src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java
